GPU available:  True
cuda
(10000, 8192)
(100, 8192)
20086
noise sigs:  [0.1 0.2 0.3 0.4 0.5]
Noise Sigma:  0.1
Creating datasets...
Start training...
Epoch [1/50], Train Loss: 0.3546, Validation Loss: 0.3166
Epoch [2/50], Train Loss: 0.3150, Validation Loss: 0.3165
Epoch [3/50], Train Loss: 0.3149, Validation Loss: 0.3165
Epoch [4/50], Train Loss: 0.3149, Validation Loss: 0.3165
Epoch [5/50], Train Loss: 0.3149, Validation Loss: 0.3164
Epoch [6/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [7/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [8/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [9/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [10/50], Train Loss: 0.3148, Validation Loss: 0.3165
Epoch [11/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [12/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [13/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [14/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [15/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [16/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [17/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [18/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [19/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [20/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [21/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [22/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [23/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [24/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [25/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [26/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [27/50], Train Loss: 0.3148, Validation Loss: 0.3164
Epoch [28/50], Train Loss: 0.3148, Validation Loss: 0.3163
Epoch [29/50], Train Loss: 0.3148, Validation Loss: 0.3163
