GPU available:  True
GPU available:  True
cuda
(10000, 8192)
(100, 8192)
(10000, 8192)
20086
noise sigs:  [0.1  0.45 0.8  1.15 1.5 ]
Noise Sigma:  0.1
Creating datasets...
Start training...
Epoch [1/25], Train Loss: 0.1495, Validation Loss: 0.0513
Epoch [2/25], Train Loss: 0.0313, Validation Loss: 0.0205
Epoch [3/25], Train Loss: 0.0149, Validation Loss: 0.0116
Epoch [4/25], Train Loss: 0.0091, Validation Loss: 0.0076
Epoch [5/25], Train Loss: 0.0063, Validation Loss: 0.0054
Epoch [6/25], Train Loss: 0.0046, Validation Loss: 0.0041
Epoch [7/25], Train Loss: 0.0035, Validation Loss: 0.0032
Epoch [8/25], Train Loss: 0.0028, Validation Loss: 0.0026
Epoch [9/25], Train Loss: 0.0023, Validation Loss: 0.0022
Epoch [10/25], Train Loss: 0.0019, Validation Loss: 0.0018
Epoch [11/25], Train Loss: 0.0016, Validation Loss: 0.0015
Epoch [12/25], Train Loss: 0.0014, Validation Loss: 0.0013
Epoch [13/25], Train Loss: 0.0012, Validation Loss: 0.0011
Epoch [14/25], Train Loss: 0.0010, Validation Loss: 0.0009
Epoch [15/25], Train Loss: 0.0009, Validation Loss: 0.0008
Epoch [16/25], Train Loss: 0.0007, Validation Loss: 0.0007
Epoch [17/25], Train Loss: 0.0006, Validation Loss: 0.0006
Epoch [18/25], Train Loss: 0.0005, Validation Loss: 0.0005
Epoch [19/25], Train Loss: 0.0005, Validation Loss: 0.0005
Epoch [20/25], Train Loss: 0.0004, Validation Loss: 0.0004
Epoch [21/25], Train Loss: 0.0004, Validation Loss: 0.0003
Epoch [22/25], Train Loss: 0.0003, Validation Loss: 0.0003
Epoch [23/25], Train Loss: 0.0003, Validation Loss: 0.0003
Epoch [24/25], Train Loss: 0.0002, Validation Loss: 0.0002
Epoch [25/25], Train Loss: 0.0002, Validation Loss: 0.0002

Finished Training in 325.8

