GPU available:  False
GPU available:  False
cpu
(10000, 8192)
(100, 8192)
(10000, 8192)
noise sigs:  [0.1  0.25 0.4  0.55 0.7 ]
Noise Sigma:  0.1
Creating datasets...
20086
Start training...
Epoch [1/25], Train Loss: 0.2960, Validation Loss: 0.1761, lr = 0.01
Epoch [2/25], Train Loss: 0.1410, Validation Loss: 0.1068, lr = 0.00955
Epoch [3/25], Train Loss: 0.0904, Validation Loss: 0.0727, lr = 0.009099999999999999
Epoch [4/25], Train Loss: 0.0640, Validation Loss: 0.0536, lr = 0.008649999999999998
Epoch [5/25], Train Loss: 0.0485, Validation Loss: 0.0419, lr = 0.008199999999999997
Epoch [6/25], Train Loss: 0.0386, Validation Loss: 0.0340, lr = 0.007749999999999997
Epoch [7/25], Train Loss: 0.0319, Validation Loss: 0.0285, lr = 0.0072999999999999975
Epoch [8/25], Train Loss: 0.0271, Validation Loss: 0.0245, lr = 0.006849999999999998
Epoch [9/25], Train Loss: 0.0235, Validation Loss: 0.0215, lr = 0.006399999999999998
Epoch [10/25], Train Loss: 0.0208, Validation Loss: 0.0192, lr = 0.005949999999999998
Epoch [11/25], Train Loss: 0.0186, Validation Loss: 0.0173, lr = 0.005499999999999998
Epoch [12/25], Train Loss: 0.0169, Validation Loss: 0.0158, lr = 0.005049999999999998
Epoch [13/25], Train Loss: 0.0156, Validation Loss: 0.0146, lr = 0.004599999999999998
Epoch [14/25], Train Loss: 0.0144, Validation Loss: 0.0136, lr = 0.004149999999999998
Epoch [15/25], Train Loss: 0.0135, Validation Loss: 0.0128, lr = 0.0036999999999999984
Epoch [16/25], Train Loss: 0.0128, Validation Loss: 0.0122, lr = 0.0032499999999999985
Epoch [17/25], Train Loss: 0.0121, Validation Loss: 0.0116, lr = 0.002799999999999999
Epoch [18/25], Train Loss: 0.0116, Validation Loss: 0.0112, lr = 0.0023499999999999992
Epoch [19/25], Train Loss: 0.0112, Validation Loss: 0.0108, lr = 0.0018999999999999993
Epoch [20/25], Train Loss: 0.0109, Validation Loss: 0.0106, lr = 0.0014499999999999997
Epoch [21/25], Train Loss: 0.0107, Validation Loss: 0.0104, lr = 0.0009999999999999996
Epoch [22/25], Train Loss: 0.0105, Validation Loss: 0.0102, lr = 0.0009999999999999996
Epoch [23/25], Train Loss: 0.0103, Validation Loss: 0.0100, lr = 0.0009999999999999996
Epoch [24/25], Train Loss: 0.0101, Validation Loss: 0.0098, lr = 0.0009999999999999996
Epoch [25/25], Train Loss: 0.0099, Validation Loss: 0.0096, lr = 0.0009999999999999996

Finished Training in 1317.8

Plotting the results...
