GPU available:  True
cuda
(10000, 8192)
(100, 8192)
20086
noise sigs:  [0.1 0.2 0.3 0.4 0.5]
Noise Sigma:  0.1
Creating datasets...
Start training...
Epoch [1/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [2/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [3/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [4/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [5/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [6/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [7/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [8/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [9/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [10/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [11/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [12/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [13/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [14/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [15/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [16/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [17/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [18/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [19/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [20/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [21/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [22/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [23/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [24/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [25/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [26/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [27/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [28/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [29/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [30/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [31/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [32/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [33/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [34/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [35/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [36/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [37/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [38/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [39/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [40/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [41/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [42/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [43/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [44/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [45/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [46/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [47/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [48/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [49/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [50/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [51/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [52/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [53/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [54/100], Train Loss: 0.6931, Validation Loss: 0.6931
Epoch [55/100], Train Loss: 0.6931, Validation Loss: 0.6931
