GPU available:  True
GPU available:  True
cuda
(10000, 8192)
(100, 8192)
(10000, 8192)
20086
noise sigs:  [0.01       0.23111111 0.45222222 0.67333333 0.89444444 1.11555556
 1.33666667 1.55777778 1.77888889 2.        ]
Noise Sigma:  0.01
Creating datasets...
Start training...
Epoch [1/25], Train Loss: 0.1718, Validation Loss: 0.0520
Epoch [2/25], Train Loss: 0.0335, Validation Loss: 0.0207
Epoch [3/25], Train Loss: 0.0159, Validation Loss: 0.0116
Epoch [4/25], Train Loss: 0.0097, Validation Loss: 0.0077
Epoch [5/25], Train Loss: 0.0067, Validation Loss: 0.0055
Epoch [6/25], Train Loss: 0.0049, Validation Loss: 0.0042
Epoch [7/25], Train Loss: 0.0038, Validation Loss: 0.0033
Epoch [8/25], Train Loss: 0.0063, Validation Loss: 0.0038
Epoch [9/25], Train Loss: 0.0029, Validation Loss: 0.0025
Epoch [10/25], Train Loss: 0.0024, Validation Loss: 0.0021
Epoch [11/25], Train Loss: 0.0020, Validation Loss: 0.0018
Epoch [12/25], Train Loss: 0.0017, Validation Loss: 0.0015
Epoch [13/25], Train Loss: 0.0014, Validation Loss: 0.0013
Epoch [14/25], Train Loss: 0.0012, Validation Loss: 0.0011
Epoch [15/25], Train Loss: 0.0011, Validation Loss: 0.0010
Epoch [16/25], Train Loss: 0.0009, Validation Loss: 0.0008
Epoch [17/25], Train Loss: 0.0008, Validation Loss: 0.0007
Epoch [18/25], Train Loss: 0.0007, Validation Loss: 0.0006
Epoch [19/25], Train Loss: 0.0006, Validation Loss: 0.0005
Epoch [20/25], Train Loss: 0.0005, Validation Loss: 0.0005
Epoch [21/25], Train Loss: 0.0004, Validation Loss: 0.0004
Epoch [22/25], Train Loss: 0.0004, Validation Loss: 0.0004
Epoch [23/25], Train Loss: 0.0003, Validation Loss: 0.0003
Epoch [24/25], Train Loss: 0.0003, Validation Loss: 0.0003
Epoch [25/25], Train Loss: 0.0003, Validation Loss: 0.0002

Finished Training in 298.1

Plotting the results...
