GPU available:  True
GPU available:  True
cuda
(10000, 8192)
(100, 8192)
(10000, 8192)
20086
noise sigs:  [0.01       0.08666667 0.16333333 0.24       0.31666667 0.39333333
 0.47       0.54666667 0.62333333 0.7       ]
Noise Sigma:  0.01
Creating datasets...
Start training...
Epoch [1/25], Train Loss: 0.6899, Validation Loss: 0.6920
Epoch [2/25], Train Loss: 0.6894, Validation Loss: 0.6918
Epoch [3/25], Train Loss: 0.6894, Validation Loss: 0.6922
Epoch [4/25], Train Loss: 0.6894, Validation Loss: 0.6920
Epoch [5/25], Train Loss: 0.6894, Validation Loss: 0.6915
Epoch [6/25], Train Loss: 0.6894, Validation Loss: 0.6914
Epoch [7/25], Train Loss: 0.6894, Validation Loss: 0.6929
Epoch [8/25], Train Loss: 0.6894, Validation Loss: 0.6915
Epoch [9/25], Train Loss: 0.6894, Validation Loss: 0.6920
Epoch [10/25], Train Loss: 0.6894, Validation Loss: 0.6921
Epoch [11/25], Train Loss: 0.6894, Validation Loss: 0.6924
Epoch [12/25], Train Loss: 0.6894, Validation Loss: 0.6916
Epoch [13/25], Train Loss: 0.6894, Validation Loss: 0.6922
Epoch [14/25], Train Loss: 0.6894, Validation Loss: 0.6915
Epoch [15/25], Train Loss: 0.6894, Validation Loss: 0.6921
Epoch [16/25], Train Loss: 0.6894, Validation Loss: 0.6917
Epoch [17/25], Train Loss: 0.6894, Validation Loss: 0.6920
Epoch [18/25], Train Loss: 0.6894, Validation Loss: 0.6924
Epoch [19/25], Train Loss: 0.6894, Validation Loss: 0.6923
Epoch [20/25], Train Loss: 0.6894, Validation Loss: 0.6918
Epoch [21/25], Train Loss: 0.6895, Validation Loss: 0.6921
Epoch [22/25], Train Loss: 0.6894, Validation Loss: 0.6919
