GPU available:  False
GPU available:  False
cpu
(10000, 8192)
(100, 8192)
(10000, 8192)
noise sigs:  [0.1  0.25 0.4  0.55 0.7 ]
Noise Sigma:  0.1
Creating datasets...
20086
Start training...
Epoch [1/25], Train Loss: 0.4759, Validation Loss: 0.3325, lr = 0.01
Epoch [2/25], Train Loss: 0.3178, Validation Loss: 0.3245, lr = 0.0082
Epoch [3/25], Train Loss: 0.3166, Validation Loss: 0.3244, lr = 0.006400000000000001
Epoch [4/25], Train Loss: 0.3165, Validation Loss: 0.3243, lr = 0.004600000000000001
Epoch [5/25], Train Loss: 0.3165, Validation Loss: 0.3243, lr = 0.002800000000000001
Epoch [6/25], Train Loss: 0.3165, Validation Loss: 0.3243, lr = 0.0010000000000000002
Epoch [7/25], Train Loss: 0.3165, Validation Loss: 0.3243, lr = 0.0010000000000000002
Epoch [8/25], Train Loss: 0.3165, Validation Loss: 0.3243, lr = 0.0010000000000000002
Epoch [9/25], Train Loss: 0.3165, Validation Loss: 0.3243, lr = 0.0010000000000000002
Epoch [10/25], Train Loss: 0.3165, Validation Loss: 0.3243, lr = 0.0010000000000000002
Epoch [11/25], Train Loss: 0.3165, Validation Loss: 0.3243, lr = 0.0010000000000000002
